🇨🇳央视频道,#genre#
CCTV1,http://btjg.net:809/hls/1/index.m3u8
CCTV2,http://btjg.net:809/hls/2/index.m3u8
CCTV3,http://btjg.net:809/hls/3/index.m3u8
CCTV4,http://btjg.net:809/hls/141/index.m3u8
CCTV4,http://btjg.net:809/hls/4/index.m3u8
CCTV5,http://btjg.net:809/hls/5/index.m3u8
CCTV5+,http://btjg.net:809/hls/17/index.m3u8
CCTV6,http://btjg.net:809/hls/6/index.m3u8
CCTV7,http://btjg.net:809/hls/7/index.m3u8
CCTV8,http://btjg.net:809/hls/8/index.m3u8
CCTV9,http://btjg.net:809/hls/9/index.m3u8
CCTV10,http://btjg.net:809/hls/10/index.m3u8
CCTV11,http://btjg.net:809/hls/11/index.m3u8
CCTV12,http://btjg.net:809/hls/12/index.m3u8
CCTV13,http://btjg.net:809/hls/13/index.m3u8
CCTV13,http://btjg.net:809/hls/16/index.m3u8
CCTV14,http://btjg.net:809/hls/14/index.m3u8
CCTV15,http://btjg.net:809/hls/15/index.m3u8
CCTV17,http://btjg.net:809/hls/119/index.m3u8
🇨🇳卫视频道,#genre#
安徽卫视,http://btjg.net:809/hls/42/index.m3u8
北京卫视,http://btjg.net:809/hls/43/index.m3u8
兵团卫视,http://btjg.net:809/hls/41/index.m3u8
重庆卫视,http://btjg.net:809/hls/54/index.m3u8
东南卫视,http://btjg.net:809/hls/44/index.m3u8
甘肃卫视,http://btjg.net:809/hls/63/index.m3u8
广东卫视,http://btjg.net:809/hls/32/index.m3u8
广西卫视,http://btjg.net:809/hls/40/index.m3u8
贵州卫视,http://btjg.net:809/hls/34/index.m3u8
海南卫视,http://btjg.net:809/hls/61/index.m3u8
河北卫视,http://btjg.net:809/hls/45/index.m3u8
河南卫视,http://btjg.net:809/hls/55/index.m3u8
黑龙江卫视,http://btjg.net:809/hls/39/index.m3u8
湖北卫视,http://btjg.net:809/hls/31/index.m3u8
湖南卫视,http://btjg.net:809/hls/47/index.m3u8
吉林卫视,http://btjg.net:809/hls/38/index.m3u8
江苏卫视,http://btjg.net:809/hls/30/index.m3u8
江西卫视,http://btjg.net:809/hls/56/index.m3u8
辽宁卫视,http://btjg.net:809/hls/36/index.m3u8
内蒙古卫视汉语,http://btjg.net:809/hls/19/index.m3u8
内蒙古卫视蒙语,http://btjg.net:809/hls/18/index.m3u8
宁夏卫视,http://btjg.net:809/hls/51/index.m3u8
青海卫视,http://btjg.net:809/hls/62/index.m3u8
三沙卫视,http://btjg.net:809/hls/142/index.m3u8
山东卫视,http://btjg.net:809/hls/37/index.m3u8
山西卫视,http://btjg.net:809/hls/33/index.m3u8
陕西卫视,http://btjg.net:809/hls/64/index.m3u8
上海卫视,http://btjg.net:809/hls/35/index.m3u8
深圳卫视,http://btjg.net:809/hls/50/index.m3u8
四川卫视,http://btjg.net:809/hls/48/index.m3u8
天津卫视,http://btjg.net:809/hls/46/index.m3u8
西藏卫视,http://btjg.net:809/hls/140/index.m3u8
新疆卫视,http://btjg.net:809/hls/111/index.m3u8
云南卫视,http://btjg.net:809/hls/53/index.m3u8
浙江卫视,http://btjg.net:809/hls/29/index.m3u8
🇨🇳其他频道,#genre#
环球购物,http://btjg.net:809/hls/154/index.m3u8
聚鲨环球,http://btjg.net:809/hls/152/index.m3u8
山东教育,http://btjg.net:809/hls/112/index.m3u8
山东教育,http://btjg.net:809/hls/120/index.m3u8
CETV1,http://btjg.net:809/hls/105/index.m3u8
CETV2,http://btjg.net:809/hls/106/index.m3u8
CETV4,http://btjg.net:809/hls/107/index.m3u8
CGTN阿拉伯语,http://btjg.net:809/hls/148/index.m3u8
CGTN法语,http://btjg.net:809/hls/147/index.m3u8
CNTG俄语,http://btjg.net:809/hls/146/index.m3u8
CNTG英文纪录,http://btjg.net:809/hls/145/index.m3u8
GGTN西班牙语,http://btjg.net:809/hls/72/index.m3u8
GGTN英语,http://btjg.net:809/hls/115/index.m3u8
包头经济,http://btjg.net:809/hls/28/index.m3u8
包头生活服务,http://btjg.net:809/hls/27/index.m3u8
包头新闻综合,http://btjg.net:809/hls/26/index.m3u8
佳嘉卡通,http://btjg.net:809/hls/139/index.m3u8
家有购物,http://btjg.net:809/hls/151/index.m3u8
金鹰纪实,http://btjg.net:809/hls/136/index.m3u8
金鹰卡通,http://btjg.net:809/hls/70/index.m3u8
卡酷少儿,http://btjg.net:809/hls/49/index.m3u8
内蒙古经济生活,http://btjg.net:809/hls/20/index.m3u8
内蒙古蒙语文化,http://btjg.net:809/hls/24/index.m3u8
内蒙古农牧,http://btjg.net:809/hls/22/index.m3u8
内蒙古少儿,http://btjg.net:809/hls/25/index.m3u8
内蒙古文体娱乐,http://btjg.net:809/hls/21/index.m3u8
内蒙古新闻综合,http://btjg.net:809/hls/23/index.m3u8
时尚购物,http://btjg.net:809/hls/150/index.m3u8
央广购物,http://btjg.net:809/hls/153/index.m3u8
优购物,http://btjg.net:809/hls/149/index.m3u8
中国教育1,http://btjg.net:809/hls/126/index.m3u8
中文国际,http://btjg.net:809/hls/144/index.m3u8
中文国际欧洲,http://btjg.net:809/hls/143/index.m3u8
