电视直播(全网),#genre#
CCTV1-综合,http://shtv.a24fbd0a.er.aliyun-esa.net/PLTV/11/224/3221225673/index.m3u8
CCTV1-综合,http://shtv.a24fbd0a.er.aliyun-esa.net/PLTV/11/224/3221225723/index.m3u8
CCTV1-综合,http://shtv.a24fbd0a.er.aliyun-esa.net/PLTV/11/224/3221225770/index.m3u8
CCTV1-综合,http://shtv.a24fbd0a.er.aliyun-esa.net/PLTV/11/224/3221226163/index.m3u8
CCTV2-财经,http://shtv.a24fbd0a.er.aliyun-esa.net/PLTV/11/224/3221226122/index.m3u8
CCTV3-综艺,http://shtv.a24fbd0a.er.aliyun-esa.net/PLTV/11/224/3221225766/index.m3u8
CCTV3-综艺,http://shtv.a24fbd0a.er.aliyun-esa.net/PLTV/11/224/3221226165/index.m3u8
CCTV4-中文国际,http://shtv.a24fbd0a.er.aliyun-esa.net/PLTV/11/224/3221226124/index.m3u8
CCTV5-体育,http://shtv.a24fbd0a.er.aliyun-esa.net/PLTV/11/224/3221225734/index.m3u8
CCTV5-体育,http://shtv.a24fbd0a.er.aliyun-esa.net/PLTV/11/224/3221226146/index.m3u8
CCTV6-电影,http://shtv.a24fbd0a.er.aliyun-esa.net/PLTV/11/224/3221225741/index.m3u8
CCTV6-电影,http://shtv.a24fbd0a.er.aliyun-esa.net/PLTV/11/224/3221226148/index.m3u8
CCTV7-国防军事,http://shtv.a24fbd0a.er.aliyun-esa.net/PLTV/11/224/3221225701/index.m3u8
CCTV7-国防军事,http://shtv.a24fbd0a.er.aliyun-esa.net/PLTV/11/224/3221226137/index.m3u8
CCTV7-国防军事,http://shtv.a24fbd0a.er.aliyun-esa.net/PLTV/11/224/3221226143/index.m3u8
CCTV8-电视剧,http://shtv.a24fbd0a.er.aliyun-esa.net/PLTV/11/224/3221225736/index.m3u8
CCTV8-电视剧,http://shtv.a24fbd0a.er.aliyun-esa.net/PLTV/11/224/3221226167/index.m3u8
