
央视,#genre#
CCTV1,http://119.123.76.15:8086/hls/2/index.m3u8  
CCTV2,http://119.123.76.15:8086/hls/3/index.m3u8  
CCTV3,http://119.123.76.15:8086/hls/4/index.m3u8  
CCTV4,http://119.123.76.15:8086/hls/5/index.m3u8  
CCTV5,http://119.123.76.15:8086/hls/6/index.m3u8  
CCTV6,http://119.123.76.15:8086/hls/7/index.m3u8  
CCTV7,http://119.123.76.15:8086/hls/8/index.m3u8  
CCTV8,http://119.123.76.15:8086/hls/9/index.m3u8  
CCTV9,http://119.123.76.15:8086/hls/10/index.m3u8  
CCTV10,http://119.123.76.15:8086/hls/11/index.m3u8  
CCTV11,http://119.123.76.15:8086/hls/12/index.m3u8  
CCTV12,http://119.123.76.15:8086/hls/13/index.m3u8  
CCTV13,http://119.123.76.15:8086/hls/14/index.m3u8  
CCTV14,http://119.123.76.15:8086/hls/15/index.m3u8  
CCTV15,http://119.123.76.15:8086/hls/16/index.m3u8  
CCTV16,http://119.123.76.15:8086/hls/17/index.m3u8
卫视,#genre#
广东卫视,http://119.123.76.15:8086/hls/44/index.m3u8
广西卫视,http://119.123.76.15:8086/hls/48/index.m3u8
海南卫视,http://119.123.76.15:8086/hls/50/index.m3u8
河南卫视,http://119.123.76.15:8086/hls/52/index.m3u8
湖北卫视,http://119.123.76.15:8086/hls/54/index.m3u8
湖南卫视,http://119.123.76.15:8086/hls/55/index.m3u8
怀旧剧场,http://119.123.76.15:8086/hls/56/index.m3u8
江苏卫视,http://119.123.76.15:8086/hls/59/index.m3u8
深圳卫视,http://119.123.76.15:8086/hls/78/index.m3u8
四川卫视,http://119.123.76.15:8086/hls/82/index.m3u8
重庆卫视,http://119.123.76.15:8086/hls/100/index.m3u8
浙江卫视,http://119.123.76.15:8086/hls/101/index.m3u8
浙江卫视,http://119.123.76.15:8086/hls/128/index.m3u8
东方卫视,http://119.123.76.15:8086/hls/129/index.m3u8
北京卫视,http://119.123.76.15:8086/hls/131/index.m3u8
江西卫视,http://119.123.76.15:8086/hls/132/index.m3u8
山东卫视,http://119.123.76.15:8086/hls/133/index.m3u8
安徽卫视,http://119.123.76.15:8086/hls/137/index.m3u8
天津卫视,http://119.123.76.15:8086/hls/140/index.m3u8
贵州卫视,http://119.123.76.15:8086/hls/143/index.m3u8
河北卫视,http://119.123.76.15:8086/hls/144/index.m3u8
山西卫视,http://119.123.76.15:8086/hls/145/index.m3u8
陕西卫视,http://119.123.76.15:8086/hls/146/index.m3u8
内蒙古卫视,http://119.123.76.15:8086/hls/147/index.m3u8
吉林卫视,http://119.123.76.15:8086/hls/150/index.m3u8
西藏卫视,http://119.123.76.15:8086/hls/152/index.m3u8
新疆卫视,http://119.123.76.15:8086/hls/153/index.m3u8
云南卫视,http://119.123.76.15:8086/hls/154/index.m3u8
宁夏卫视,http://119.123.76.15:8086/hls/155/index.m3u8
甘肃卫视,http://119.123.76.15:8086/hls/157/index.m3u8
东南卫视,http://119.123.76.15:8086/hls/161/index.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
广东频道,#genre#
翡翠台,http://erp.giihgtidg.com:8080/live/jade01.m3u8
无线新闻台,http://erp.giihgtidg.com:8080/live/wxxw01.m3u8
星影台,http://j.s.bkpcp.top/js/nowxyt
爆谷台,http://j.s.bkpcp.top/js/nowbgt
广东大湾区,http://119.123.76.15:8086/hls/29/index.m3u8
广东民生,http://119.123.76.15:8086/hls/39/index.m3u8
广东少儿,http://119.123.76.15:8086/hls/40/index.m3u8
广东体育,http://119.123.76.15:8086/hls/42/index.m3u8
广东新闻,http://119.123.76.15:8086/hls/45/index.m3u8
广东影视,http://119.123.76.15:8086/hls/46/index.m3u8
广东珠江,http://119.123.76.15:8086/hls/47/index.m3u8
广东经济,http://119.123.76.15:8086/hls/63/index.m3u8
深圳都市,http://119.123.76.15:8086/hls/103/index.m3u8
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=e381ab098841a0badbf7e11f24143cf7&txTime=18e6ff43701
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d217bd6cf85c93e3b47b96504cd2dc1c&txTime=18e6ff29019
广州影视,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=d3dad1fd1a965ff59d3db3990b923267&txTime=18ee6e4efc1
广州法治,https://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=c180b67d43e34b97c970524c05ef3b4e&txTime=18ee6e4efc1
南国都市,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
联通线路,#genre#
CCTV1,http://36.32.99.130:5003/cctv1.m3u8  
CCTV2,http://36.32.99.130:5003/cctv2.m3u8  
CCTV3,http://36.32.99.130:5003/cctv3.m3u8  
CCTV4,http://36.32.99.130:5003/cctv4.m3u8  
CCTV5,http://36.32.99.130:5003/cctv5.m3u8  
CCTV5+,http://36.32.99.130:5003/cctv5p.m3u8  
CCTV6,http://36.32.99.130:5003/cctv6.m3u8  
CCTV7,http://36.32.99.130:5003/cctv7.m3u8  
CCTV8,http://36.32.99.130:5003/cctv8.m3u8  
CCTV9,http://36.32.99.130:5003/cctv9.m3u8  
CCTV10,http://36.32.99.130:5003/cctv10.m3u8  
CCTV11,http://36.32.99.130:5003/cctv11.m3u8  
CCTV12,http://36.32.99.130:5003/cctv12.m3u8  
CCTV13,http://36.32.99.130:5003/cctv13.m3u8  
CCTV14,http://36.32.99.130:5003/cctv14.m3u8  
CCTV15,http://36.32.99.130:5003/cctv15.m3u8  
CCTV16,http://36.32.99.130:5003/cctv16.m3u8  
CCTV17,http://36.32.99.130:5003/cctv17.m3u8  
北京卫视,http://36.32.99.130:5003/bjws.m3u8  
东方卫视,http://36.32.99.130:5003/dfws.m3u8  
天津卫视,http://36.32.99.130:5003/tjws.m3u8  
重庆卫视,http://36.32.99.130:5003/cqws.m3u8  
黑龙江卫视,http://36.32.99.130:5003/hljws.m3u8  
吉林卫视,http://36.32.99.130:5003/jlws.m3u8  
辽宁卫视,http://36.32.99.130:5003/lnws.m3u8  
内蒙古卫视,http://36.32.99.130:5003/neimenggu.m3u8  
宁夏卫视,http://36.32.99.130:5003/linxws.m3u8  
甘肃卫视,http://36.32.99.130:5003/gsws.m3u8  
青海卫视,http://36.32.99.130:5003/qhws.m3u8  
陕西卫视,http://36.32.99.130:5003/shxws.m3u8  
河北卫视,http://36.32.99.130:5003/hebeiws.m3u8  
山西卫视,http://36.32.99.130:5003/sxws.m3u8  
山东卫视,http://36.32.99.130:5003/sdws.m3u8  
安徽卫视,http://36.32.99.130:5003/ahws.m3u8  
河南卫视,http://36.32.99.130:5003/hnws.m3u8  
湖北卫视,http://36.32.99.130:5003/hbws.m3u8  
湖南卫视,http://36.32.99.130:5003/hunanws.m3u8  
江西卫视,http://36.32.99.130:5003/jxws.m3u8  
江苏卫视,http://36.32.99.130:5003/jsws.m3u8  
浙江卫视,http://36.32.99.130:5003/zjws.m3u8  
东南卫视,http://36.32.99.130:5003/dnws.m3u8  
厦门卫视,http://36.32.99.130:5003/xmws.m3u8  
广东卫视,http://36.32.99.130:5003/gdws.m3u8  
深圳卫视,http://36.32.99.130:5003/szws.m3u8  
广西卫视,http://36.32.99.130:5003/gxws.m3u8  
云南卫视,http://36.32.99.130:5003/ynws.m3u8  
贵州卫视,http://36.32.99.130:5003/gzws.m3u8  
四川卫视,http://36.32.99.130:5003/scws.m3u8  
新疆卫视,http://36.32.99.130:5003/xjws.m3u8  
兵团卫视,http://36.32.99.130:5003/custom2.m3u8  
海南卫视,http://36.32.99.130:5003/custom1.m3u8  
三沙卫视,http://36.32.99.130:5003/custom3.m3u8  
兵器科技,http://36.32.99.130:5003/live1743.m3u8  
第一剧场,http://36.32.99.130:5003/live1372.m3u8  
怀旧剧场,http://36.32.99.130:5003/live1425.m3u8  
风云剧场,http://36.32.99.130:5003/live1478.m3u8  
风云音乐,http://36.32.99.130:5003/live1531.m3u8  
风云足球,http://36.32.99.130:5003/live1584.m3u8  
央视精品,http://36.32.99.130:5003/live1637.m3u8  
女性时尚,http://36.32.99.130:5003/live1690.m3u8  
高尔夫,http://36.32.99.130:5003/live1796.m3u8  
央视台球,http://36.32.99.130:5003/live1849.m3u8  
CETV1,http://36.32.99.130:5003/live1020.m3u8  
安徽经视,http://36.32.99.130:5003/live1040.m3u8  
